客户	ERP CO.	工单号	产品码	款号	订单数量	订单交期
FOX	C013846-001	C06-064	FG52	CSB008	250	2009/6/14
DECATHLON	C013857-001	C06-065	FG31	1/153.889E	7896	2008/6/30
KELTY	C013857-001	C06-065	FG25	31007411NB	42	2009/7/15
DECATHLON	C013854-001	C06-066	FG31	1/153.889E	3924	2008/12/15
DECATHLON	C013854-001	C06-066	FG31	1/153.889E	720	2008/12/1
KELTY	C013854-001	C06-066	FG25	31007413NB	48	2009/7/9
SD	C014265-001	C06-067	FG53	58560500	80	2008/7/14
KELTY	C013859-032	C06-067	FG25	31007421NB	90	2009/7/15
SD	C014266-001	C06-068	FG53	58570500	80	2008/7/14
KELTY	C013859-033	C06-068	FG25	31007431NB	120	2009/7/15
SD	C014267-001	C06-069	FG53	58580500	80	2008/7/14
KELTY	C013859-034	C06-069	FG25	31007433NB	120	2009/7/9
SD	C014268-001	C06-070	FG53	58590500	80	2008/7/14
KELTY	C013859-035	C06-070	FG25	31007451NB	48	2009/7/9
SD	d000042-001	C06-071	FG53	58610600	80	2008/7/14
KELTY	C013859-036	C06-071	FG25	31007533NB	48	2009/7/9
SD	C014303-001	C06-072	FG53	58620500	80	2008/7/14
KELTY	C013859-037	C06-072	FG26	32006131NB	60	2009/7/9
SJK	C013867-001	C06-073	FG31	SJ0538	200	2008/6/9
KELTY	C013867-001	C06-073	FG26	32006151NB	36	2009/7/9
SJK	C013873-001	C06-074	FG23	SJ0518	250	2008/6/9
KELTY	C013873-001	C06-074	FG26	32006411NB	120	2009/7/9
SJK	C013875-001	C06-075	FG52B	SJ09109Z11 001	1500	2008/6/30
KELTY	C013875-001	C06-075	FG26	32406111NB	36	2009/7/15
SJK	C013875-002	C06-076	FG52B	SJ09109Z11 002	1500	2008/6/30
KELTY	C013875-002	C06-076	FG26	32406131NB	90	2009/7/15
SJK	C013875-003	C06-077	FG52B	SJ09109Z11 003	1000	2008/6/30
KELTY	C013875-003	C06-077	FG26	32406151NB	48	2009/7/15
SJK	C013881-001	C06-078	FG31	SJ01684S43	250	2008/6/30
KELTY	C013881-001	C06-078	FG31	36005133NB	80	2009/7/9
SJK	C013882-001	C06-079	FG31	SJ01684S53	100	2008/6/30
KELTY	C013882-001	C06-079	FG31	36005153NB	60	2009/7/9
SJK	C013883-001	C06-080	FG31	SJ05078E21	200	2008/6/23
KELTY	C013883-001	C06-080	FG31	36005233NB	88	2009/7/9
SJK	C013885-001	C06-081	FG31	SJ0539	200	2008/6/23
KELTY	C013885-001	C06-081	FG31	36005433NB	460	2009/7/9
DECATHLON	C013905-001	C06-082	FG31	1/153.889E	7902	2008/7/28
KELTY	C013905-001	C06-082	FG31	36005463NB	240	2009/7/9
WALMART	C010875-003	C06-083	FG31	49146F 001	5249	2008/10/13
KELTY	C010875-003	C06-083	FG31	36005673	30	2009/7/9
WALMART	C010875-004	C06-084	FG31	49146F 002	5249	2008/10/13
KELTY	C010875-004	C06-084	FG31	36006131NB	150	2009/7/15
SD	C014270-001	C06-085	FG53	0009761A00	800	2008/6/25
KELTY	C013934-001	C06-085	FG31	36006151NB	120	2009/7/15
TRAVASAK	C013985-001	C06-086	FG32	166BI	30	2008/7/1
KELTY	C013985-001	C06-086	FG31	36006161NB	90	2009/7/15
TRAVASAK	C013985-002	C06-087	FG32	202GI	35	2008/7/1
KELTY	C013985-002	C06-087	FG31	36006231NB	120	2009/7/15
TRAVASAK	C013985-003	C06-088	FG32	204CI	30	2008/7/1
KELTY	C013985-003	C06-088	FG31	36006251NB	42	2009/7/15
TRAVASAK	C013985-004	C06-089	FG31	204GI	60	2008/7/1
KELTY	C013985-004	C06-089	FG31	36006331NB	42	2009/7/15
EB	C013971-001	C06-090	FG41	EB10070 001	500	2008/7/1
KELTY	C013971-001	C06-090	FG31	36006351NB	48	2009/7/15
EB	C013971-002	C06-091	FG41	EB10070 002	500	2008/7/1
KELTY	C013971-002	C06-091	FG31	36007411NB	150	2009/7/9
DECATHLON	C014019-001	C06-092	FG31	9/171.878L	36	2008/6/2
KELTY	C014019-001	C06-092	FG31	36007443NB	36	2009/7/9
DECATHLON	C014019-002	C06-093	FG31	9/171.878R	36	2008/6/2
KELTY	C014019-002	C06-093	FG31	36405133NB	460	2009/7/9
WENZEL	C014021-001	C06-094	FG73	43560-1	1500	2008/6/30
KELTY	C014021-001	C06-094	FG31	36405163NB	90	2009/7/9
WENZEL	C014021-002	C06-095	FG73	43560-2	1500	2008/6/30
KELTY	C014021-002	C06-095	FG31	36506153NB	60	2009/7/9
WENZEL	C014021-003	C06-096	FG73	43560-3	1500	2008/6/30
KELTY	C014021-003	C06-096	FG31	36506163NB	180	2009/7/9
WENZEL	C014021-004	C06-097	FG73	43560-4	1500	2008/6/30
KELTY	C014021-004	C06-097	FG31	36506233NB	30	2009/7/9
WENZEL	C014022-001	C06-098	YG73	43580-1	800	2008/6/30
KELTY	C014022-001	C06-098	FG25	37007533NB	60	2009/7/9
WENZEL	C014022-002	C06-099	YG73	43580-2	800	2008/6/30
KELTY	C014022-002	C06-099	FG53	39002780	520	2009/7/9
WENZEL	C014022-003	C06-100	YG73	43580-3	800	2008/6/30
KELTY	C014022-003	C06-100	FG53	39002781	560	2009/7/9
EB	C014028-001	C06-101	YG89	EB10075F	10500	2008/7/8
KELTY	C014028-001	C06-101	FG53	39002782	520	2009/7/9
EB	C014029-001	C06-102	YG68	EB10074F	4500	2008/7/8
KELTY	C014029-001	C06-102	FG53	39002783	400	2009/7/9
SJK	C014055-001	C06-103	FG31	SJ05078E21	300	2008/7/7
KELTY	C014055-001	C06-103	FG41	39004678	456	2009/7/9
SJK	C014053-001	C06-104	FG31	SJ01684S53	100	2008/7/7
KELTY	C014053-001	C06-104	FG41	39004681	168	2009/7/9
DECATHLON	C014090-001	C06-105	FG31	9/168.958L	30	2008/8/25
KELTY	C014090-001	C06-105	FG52B	39007002	200	2009/7/9
DECATHLON	C014090-002	C06-106	FG31	9/168.958R	30	2008/8/25
KELTY	C014090-002	C06-106	FG52B	39007003	120	2009/7/9
WENZEL-ALDI	C014100-002	C06-107	FG63	8804690001LN	5529	2008/6/17
KELTY	C014100-002	C06-107	FG52B	39007005-RED	700	2009/6/24
WENZEL-ALDI	C014100-004	C06-108	FG63	8804690002LN	5520	2008/6/17
KELTY	C014100-004	C06-108	FG52B	39007005-PATRIOT BLUE	700	2009/6/24
ARP SAFETY	C014102-001	C06-109	FG81	17178I	240	2008/7/7
KELTY	C014102-001	C06-109	FG52B	39007005-EVERGREEN	600	2009/6/24
ARP SAFETY	C014103-001	C06-110	FG81	17189NTI	504	2008/7/7
KELTY	C014103-001	C06-110	YG52	38007002	140	2009/7/9
ARP SAFETY	C014108-001	C06-111	YG81	39016FL	96	2008/7/7
WENZEL	C014108-001	C06-111	FG41	WG10090.5	300	2009/6/1
EB	C014116-001	C06-112	YG68	EB10074F	7500	2008/7/15
WENZEL	C014116-001	C06-112	FG31	49101	500	2009/6/15
WENZEL	D000037-001	C06-113	FG31	49101	500	2009/7/1
非合同产品	D000037-001	C06-113	CG41	TRAVEL-S6031	200	2008/6/5
WENZEL	C014112-001	C06-114	FG41	20900.1 001	504	2008/7/15
WENZEL	C014112-001	C06-114	FG31	49975.6	500	2009/7/1
WENZEL	C014112-002	C06-115	FG41	20900.1 002	350	2008/7/15
TRAVASAK	C014112-002	C06-115	FG32	162BI.1	100	2009/7/1
WENZEL	C014113-001	C06-116	FG41	20900.2	1284	2008/7/15
TRAVASAK	C014113-001	C06-116	FG32	164BI.1	50	2009/7/1
C3Marketplace	C014119-001	C06-117	FG98	HB-860	2	2008/5/30
TRAVASAK	C014119-001	C06-117	FG32	166BI.1	100	2009/7/1
C3Marketplace	C014120-001	C06-118	FG98	HB-840	2	2008/5/30
TRAVASAK	C014120-001	C06-118	FG32	172B	50	2009/7/1
WALMART	C010875-009	C06-120	FG31	49146F 001	1635	2008/6/21
TRAVASAK	C010875-009	C06-120	FG32	174C	100	2009/7/1
WALMART	C010875-010	C06-121	FG31	49146F 002	1635	2008/6/21
TRAVASAK	C010875-010	C06-121	FG32	174G	100	2009/7/1
WALMART	C010875-013	C06-122	FG31	49146F 001	1176	2008/7/15
TRAVASAK	C010875-013	C06-122	FG32	174T	100	2009/7/1
WALMART	C010875-014	C06-123	FG31	49146F 002	1176	2008/7/15
TRAVASAK	C010875-014	C06-123	YG89	175B	100	2009/6/17
WALMART	C010875-011	C06-124	FG31	49146F 001	579	2008/7/12
TRAVASAK	C010875-011	C06-124	YG89	175C	100	2009/6/17
WALMART	C010875-012	C06-125	FG31	49146F 002	579	2008/7/12
TRAVASAK	C010875-012	C06-125	YG89	175G	100	2009/6/17
WALMART	C010875-015	C06-126	FG31	49146F 002	666	2008/8/9
TRAVASAK	C010875-015	C06-126	YG89	175T	100	2009/6/17
WALMART	C010875-016	C06-127	FG31	49146F 001	666	2008/8/9
TRAVASAK	C010875-016	C06-127	FG32	202GI	50	2009/7/1
WALMART	C010875-017	C06-128	FG31	49146F 001	768	2008/8/26
KELTY	C010875-017	C06-128	FG31	36107163	600	2009/7/9
WALMART	C010875-018	C06-129	FG31	49146F 002	768	2008/8/26
ARP SAFETY	C010875-018	C06-129	FG81	AB712014I	504	2009/7/1
CRP	C014137-001	C06-130	FG53	815609S	60	2008/6/5
ARP SAFETY	C014137-001	C06-130	FG81	17174I	480	2009/6/15
DECATHLON	C014131-001	C06-131	FG31	9/171.878L	30	2008/6/2
ARP SAFETY	C014131-001	C06-131	FG81	17174NTI	480	2009/6/15
DECATHLON	C014131-002	C06-132	FG31	9/171.878R	30	2008/6/2
ARP SAFETY	C014131-002	C06-132	FG81	17177I	120	2009/7/6
DECATHLON	C014132-001	C06-133	FG31	9/168.958L	12	2008/11/3
ARP SAFETY	C014132-001	C06-133	FG81	17194I	3000	2009/6/8
DECATHLON	C014132-002	C06-134	FG31	9/168.958R	12	2008/11/3
ARP SAFETY	C014132-002	C06-134	FG81	17195I	500	2009/6/8
DECATHLON	C014133-001	C06-135	FG31	2/163.233L	50	2008/10/13
ARP SAFETY	C014133-001	C06-135	FG81	18HD014I	200	2009/6/22
DECATHLON	C014133-002	C06-136	FG31	2/163.233R	50	2008/10/13
ARP SAFETY	C014133-002	C06-136	FG81	31002I	120	2009/6/15
DECATHLON	C014134-001	C06-137	FG31	9/160.426L	36	2008/10/13
ARP SAFETY	C014134-001	C06-137	YG81	31014GF	300	2009/6/29
DECATHLON	C014134-002	C06-138	FG31	9/160.426R	36	2008/10/13
ARP SAFETY	C014134-002	C06-138	FG81	31014SSI	408	2009/6/22
SJK	C014150-001	C06-139	FG85	SJM9700	350	2008/7/28
ARP SAFETY	C014150-001	C06-139	FG81	31016D	1200	2009/7/6
WENZEL	C013071-001	C07-001	FG31	49156P	1472	2008/8/11
WENZEL	C013071-001	C07-001	FG52	49704.2 001	400	2009/5/13
WENZEL	C013071-002	C07-002	FG31	49156P	1472	2008/8/11
WENZEL	C013071-002	C07-002	FG52	49704.2 002	400	2009/5/13
WENZEL	C013071-003	C07-003	FG31	49156P	1472	2008/8/11
WENZEL	C013071-003	C07-003	FG52	49704.2 003	400	2009/5/13
WENZEL	C013071-004	C07-004	FG31	49156P	1472	2008/8/11
WENZEL	C013071-005	C07-005	FG31	49156P	1472	2008/8/11
SJK	C013071-005	C07-005	FG23	SJ01633I44	500	2009/9/8
WENZEL	C013071-006	C07-006	FG31	49156P	1472	2008/8/11
SJK	C013071-006	C07-006	FG23	SJ01684S43-07	300	2009/8/3
WENZEL	C013202-001	C07-007	FG52	49704.2 001	400	2008/7/1
SJK	C013202-001	C07-007	FG31	SJ05123G24	300	2009/8/3
WENZEL	C013202-002	C07-008	FG52	49704.2 002	400	2008/7/1
SJK	C013202-002	C07-008	FG31	SJ0522	250	2009/7/8
WENZEL	C013202-003	C07-009	FG52	49704.2 003	400	2008/7/1
WENZEL	C013202-003	C07-009	FG41	28950 001	400	2009/8/1
SJK	C013289-001	C07-010	FG31	SJ01474S43	500	2008/7/7
WENZEL	C013289-001	C07-010	FG41	28950 002	400	2009/8/1
WENZEL	C013409-001	C07-011	FG52	49704.2 001	400	2008/5/15
WENZEL	C013409-001	C07-011	FG41	28950 003	400	2009/8/1
WENZEL	C013409-002	C07-012	FG52	49704.2 002	400	2008/5/15
TRAVASAK	C013409-002	C07-012	FG32	164BI.1	100	2009/6/3
WENZEL	C013409-003	C07-013	FG52	49704.2 003	400	2008/5/15
ARP SAFETY	C013409-003	C07-013	FG81	31025I	120	2009/7/27
WENZEL	C013419-001	C07-014	FG31	RK10240HD	250	2008/4/22
WENZEL-MENARDS	C013419-001	C07-014	FG62	8804690100 003	1539	2009/8/1
TRAVASAK	C013420-001	C07-015	FG32	161TC	750	2008/6/15
WENZEL-MENARDS	C013420-001	C07-015	FG62	8804690100 004	1539	2009/8/1
SJK	C013581-001	C07-016	FG31	SJ01474S43	500	2008/8/4
WENZEL-MENARDS	C013581-001	C07-016	FG62	8804690100 001	1539	2009/8/1
SJK	C013582-001	C07-017	FG31	SJ01474S53	200	2008/8/4
WENZEL-MENARDS	C013582-001	C07-017	FG62	8804690100 002	1539	2009/8/1
SJK	C013587-001	C07-018	FG31	SJ0539	52	2008/6/9
WENZEL	C013587-001	C07-018	FG31	49019.6	500	2009/6/3
SJK	C013588-001	C07-019	FG52B	SJ09109Z11 001	800	2008/7/28
WENZEL	C013588-001	C07-019	FG52	49704.2 001	400	2009/8/1
SJK	C013588-002	C07-020	FG52B	SJ09109Z11 002	800	2008/7/28
WENZEL	C013588-002	C07-020	FG52	49704.2 002	400	2009/8/1
SJK	C013588-003	C07-021	FG52B	SJ09109Z11 003	900	2008/7/28
WENZEL	C013588-003	C07-021	FG52	49704.2 003	400	2009/8/1
SJK	C013589-001	C07-022	FG52	SJ09119Z31	500	2008/8/4
ARP INTERNATIONAL	C013589-001	C07-022	FG31	63039.1LUC	864	2009/8/15
WENZEL	C013605-001	C07-023	FG31	SG11082	250	2008/7/15
WENZEL	C013605-001	C07-023	FG31	49019.6	600	2009/8/1
WENZEL	C013611-001	C07-024	FG52	49704.2 001	400	2008/5/22
WENZEL	C013611-001	C07-024	FG31	49101	500	2009/8/15
WENZEL	C013611-002	C07-025	FG52	49704.2 002	400	2008/5/22
WENZEL	C013611-002	C07-025	FG31	28530	350	2009/7/1
WENZEL	C013611-003	C07-026	FG52	49704.2 003	400	2008/5/22
ARP SAFETY	C013611-003	C07-026	FG81	AB712020	1200	2009/8/10
SJK	C013679-001	C07-027	FG31	SJ01464S43	1000	2008/8/4
ARP SAFETY	C013679-001	C07-027	FG81	17158I	500	2009/7/13
ARP SAFETY	C013751-001	C07-028	FG81	17194I	2000	2008/8/7
ARP SAFETY	C013751-001	C07-028	FG81	18026I	500	2009/8/18
WENZEL	C013775-001	C07-029	FG31	49103	250	2008/8/1
ARP SAFETY	C013775-001	C07-029	FG81	36014I	240	2009/7/20
SJK	C013886-001	C07-030	FG31	SJ01474S43	1000	2008/8/4
SJK	C013886-001	C07-030	FG25	CAB4188	120	2009/8/3
SJK	C013887-001	C07-031	FG31	SJ01474S53	500	2008/8/4
SJK	C013887-001	C07-031	FG25	CAB4200	120	2009/8/3
SJK	C013894-001	C07-032	FG31	SJ01684S43	250	2008/8/4
SJK	C013894-001	C07-032	FG25	CAB4181	90	2009/8/3
SJK	C013898-001	C07-033	FG31	SJ05078C21	500	2008/8/4
SJK	C013898-001	C07-033	FG53	CAB4185	100	2009/8/3
SJK	C013899-001	C07-034	FG31	SJ05094G24	500	2008/6/23
SJK	C013899-001	C07-034	FG25	CAB4188	240	2009/8/3
SJK	C013902-001	C07-035	FG31	SJ0538	200	2008/8/4
SJK	C013902-001	C07-035	FG25	CAB4200	220	2009/8/3
DECATHLON	C013904-001	C07-036	FG31	1/153.889E	7902	2008/7/7
SJK	C013904-001	C07-036	FG25	CAB4181	180	2009/8/3
SJK	C013913-001	C07-037	FG25	CAB4200	100	2008/8/1
SJK	C013913-001	C07-037	FG53	CAB4185	120	2009/8/3
SJK	C013914-001	C07-038	FG53	CAB4185	300	2008/8/1
SJK	C013914-001	C07-038	FG25	CAB4188	40	2009/8/3
SJK	C013915-001	C07-039	FG41	CAB4186	360	2008/8/1
SJK	C013915-001	C07-039	FG25	CAB4200	60	2009/8/3
SJK	C013916-001	C07-040	FG41	CAB4189	200	2008/7/15
SJK	C013916-001	C07-040	FG25	CAB4181	30	2009/8/3
SJK	C013920-001	C07-041	FG53	SJ09066Z11	400	2008/6/23
SJK	C013920-001	C07-041	FG53	CAB4185	80	2009/8/3
WENGER	C013972-001	C07-044	FG25	WG10096	125	2008/7/15
EB	C013972-001	C07-044	YG89	EB10086F	2000	2009/7/27
WENZEL	C013973-001	C07-045	FG52	49704.2 001	400	2008/6/23
WENZEL	C013973-002	C07-046	FG52	49704.2 002	400	2008/6/23
EB	C013973-002	C07-046	FG73	EB99000F 001	666	2009/7/29
WENZEL	C013973-003	C07-047	FG52	49704.2 003	400	2008/6/23
EB	C013973-003	C07-047	FG73	EB99000F 002	666	2009/7/29
WENZEL	C013983-001	C07-048	FG52	27550 001	168	2008/7/15
EB	C013983-001	C07-048	FG73	EB99002F	960	2009/7/29
WENZEL	C013983-002	C07-049	FG52	27550 002	168	2008/7/15
ARP SAFETY	C013983-002	C07-049	FG81	17158I	500	2009/8/18
WENZEL	C013983-003	C07-050	FG52	27550 003	168	2008/7/15
ARP SAFETY	C013983-003	C07-050	FG81	17193I	500	2009/8/28
TRAVASAK	C013984-001	C07-051	FG32	164BI	75	2008/7/15
ARP SAFETY	C013984-001	C07-051	FG81	17194I	3000	2009/8/28
KELTY	C013999-001	C07-052	FG31	36005153NB	32	2008/8/1
ARP SAFETY	C013999-001	C07-052	FG81	31005I	120	2009/8/18
KELTY	C014001-001	C07-053	FG31	36405163NB	44	2008/8/1
ARP SAFETY	C014001-001	C07-053	FG81	31018D	1200	2009/8/28
KELTY	C014002-001	C07-054	FG31	36506133NB	90	2008/8/1
ARP SAFETY	C014002-001	C07-054	FG81	31018NTI	600	2009/8/28
KELTY	C014003-001	C07-055	FG31	36506153NB	120	2008/8/1
ARP SAFETY	C014003-001	C07-055	YG82	STYLE NO.32124	250	2009/8/6
KELTY	C014004-001	C07-056	FG31	36506163NB	100	2008/8/1
KELTY	C014004-001	C07-056	FG31	36005133NB	60	2009/8/6
KELTY	C014005-001	C07-057	FG31	36506233NB	200	2008/8/1
KELTY	C014005-001	C07-057	FG31	36005153NB	60	2009/8/6
KELTY	C014010-001	C07-058	FG53	39002780	80	2008/8/1
KELTY	C014010-001	C07-058	FG31	36005233NB	52	2009/8/6
KELTY	C014011-001	C07-059	FG41	39004678	144	2008/8/1
KELTY	C014011-001	C07-059	FG31	36005463NB	104	2009/8/6
KELTY	C014012-001	C07-060	FG41	39004681	60	2008/8/1
KELTY	C014012-001	C07-060	FG31	36006231NB	60	2009/8/6
EB	C014030-001	C07-061	YG89	EB10075F	3504	2008/8/5
KELTY	C014030-001	C07-061	FG31	36006251NB	42	2009/8/6
EB	C014031-001	C07-062	YG68	EB10074F	2500	2008/8/5
KELTY	C014031-001	C07-062	FG31	36007411NB	72	2009/8/6
EB	C014036-001	C07-063	YG89	EB10075F	1002	2008/7/29
KELTY	C014036-001	C07-063	FG31	36405133NB	50	2009/8/6
EB	C014037-001	C07-064	YG68	EB10074F	500	2008/7/29
KELTY	C014037-001	C07-064	FG31	36405163NB	50	2009/8/6
SJK	C014052-001	C07-065	FG31	SJ01464S43	500	2008/8/1
KELTY	C014052-001	C07-065	FG31	36506163NB	90	2009/8/6
BLACK WATER DESIGNS	C014061-024	C07-066	FG91	206-24210-300-04	7	2008/7/30
KELTY	C014061-024	C07-066	FG53	39002780	160	2009/8/6
BLACK WATER DESIGNS	C014061-025	C07-067	FG91	206-24210-300-05	15	2008/7/30
KELTY	C014061-025	C07-067	FG53	39002781	220	2009/8/6
BLACK WATER DESIGNS	C014061-026	C07-068	FG91	206-24210-300-06	23	2008/7/30
KELTY	C014061-026	C07-068	FG53	39002782	300	2009/8/6
BLACK WATER DESIGNS	C014061-027	C07-069	FG91	206-24210-300-07	17	2008/7/30
KELTY	C014061-027	C07-069	FG53	39002783	280	2009/8/6
BLACK WATER DESIGNS	C014061-028	C07-070	FG91	206-24210-300-08	4	2008/7/30
KELTY	C014061-028	C07-070	FG41	39004678	120	2009/8/6
BLACK WATER DESIGNS	C014061-029	C07-071	FG91	206-24210-512-05	10	2008/7/30
KELTY	C014061-029	C07-071	FG41	39004681	72	2009/8/6
BLACK WATER DESIGNS	C014061-030	C07-072	FG91	206-24210-512-06	10	2008/7/30
KELTY	C014061-030	C07-072	FG41	39004683	60	2009/8/6
BLACK WATER DESIGNS	C014061-031	C07-073	FG91	206-24210-512-07	8	2008/7/30
KELTY	C014061-031	C07-073	FG52B	39007001	120	2009/8/6
BLACK WATER DESIGNS	C014061-032	C07-074	FG91	206-24210-947-04	4	2008/7/30
KELTY	C014061-032	C07-074	FG52B	39007002	100	2009/8/6
BLACK WATER DESIGNS	C014061-033	C07-075	FG91	206-24210-947-05	10	2008/7/30
KELTY	C014061-033	C07-075	FG52B	39007003	100	2009/8/6
BLACK WATER DESIGNS	C014061-034	C07-076	FG91	206-24210-947-06	6	2008/7/30
KELTY	C014061-034	C07-076	FG52B	39007005-RED	420	2009/8/6
BLACK WATER DESIGNS	C014061-035	C07-077	FG91	206-24210-947-07	8	2008/7/30
KELTY	C014061-035	C07-077	FG52B	39007005-PATRIOT BLUE	420	2009/8/6
BLACK WATER DESIGNS	C014061-036	C07-078	FG91	206-24210-947-08	2	2008/7/30
KELTY	C014061-036	C07-078	FG52B	39007005-EVERGREEN	360	2009/8/6
BLACK WATER DESIGNS	C014061-076	C07-079	FG91	206-34210-300-03	6	2008/7/30
FOX	C014061-076	C07-079	FG52	CSB007	100	2009/8/1
BLACK WATER DESIGNS	C014061-077	C07-080	FG91	206-34210-300-04	16	2008/7/30
WENZEL	C014061-077	C07-080	FG73	43560-1	750	2009/8/1
BLACK WATER DESIGNS	C014061-078	C07-081	FG91	206-34210-300-05	25	2008/7/30
WENZEL	C014061-078	C07-081	FG73	43560-2	750	2009/8/1
BLACK WATER DESIGNS	C014061-079	C07-082	FG91	206-34210-300-06	24	2008/7/30
WENZEL	C014061-079	C07-082	FG73	43560-3	750	2009/8/1
BLACK WATER DESIGNS	C014061-080	C07-083	FG91	206-34210-300-07	12	2008/7/30
WENZEL	C014061-080	C07-083	FG73	43560-4	750	2009/8/1
BLACK WATER DESIGNS	C014061-081	C07-084	FG91	206-34210-794-04	6	2008/7/30
WENZEL	C014061-081	C07-084	YG73	43580-1	766	2009/8/1
BLACK WATER DESIGNS	C014061-082	C07-085	FG91	206-34210-794-05	8	2008/7/30
WENZEL	C014061-082	C07-085	YG73	43580-2	767	2009/8/1
BLACK WATER DESIGNS	C014061-083	C07-086	FG91	206-34210-794-06	10	2008/7/30
WENZEL	C014061-083	C07-086	YG73	43580-3	767	2009/8/1
BLACK WATER DESIGNS	C014061-084	C07-087	FG91	206-34210-794-07	6	2008/7/30
WALMART	C014061-084	C07-087	FG31	49146F 001	900	2009/8/6
BLACK WATER DESIGNS	C014061-085	C07-088	FG91	206-34210-842-03	4	2008/7/30
WALMART	C014061-085	C07-088	FG31	49146F 002	900	2009/8/6
BLACK WATER DESIGNS	C014061-086	C07-089	FG91	206-34210-842-04	14	2008/7/30
EB	C014061-086	C07-089	FG41	EB10070 001	418	2009/7/1
EB	C014061-086	C07-089	FG41	EB10070 001	417	2009/7/8
BLACK WATER DESIGNS	C014061-087	C07-090	FG91	206-34210-842-05	20	2008/7/30
EB	C014061-087	C07-090	FG41	EB10070 002	418	2009/7/1
EB	C014061-087	C07-090	FG41	EB10070 002	417	2009/7/8
BLACK WATER DESIGNS	C014061-088	C07-091	FG91	206-34210-842-06	12	2008/7/30
C3Marketplace	C014061-088	C07-091	FG98	HB-840GM	960	2009/8/31
BLACK WATER DESIGNS	C014061-089	C07-092	FG91	206-34210-842-07	3	2008/7/30
KELTY	C014061-089	C07-092	FG31	36505133	400	2009/8/6
BLACK WATER DESIGNS	C014061-090	C07-093	FG91	206-34210-952-04	12	2008/7/30
KELTY	C014061-090	C07-093	FG31	36505233	300	2009/8/6
BLACK WATER DESIGNS	C014061-091	C07-094	FG91	206-34210-952-05	12	2008/7/30
KELTY	C014061-091	C07-094	FG25	31107231	280	2009/8/6
BLACK WATER DESIGNS	C014061-092	C07-095	FG91	206-34210-952-06	16	2008/7/30
KELTY	C014061-092	C07-095	FG25	31107251	140	2009/8/6
BLACK WATER DESIGNS	C014061-093	C07-096	FG91	206-34210-952-07	12	2008/7/30
WENZEL	C014061-093	C07-096	FG52	49704.2 001	400	2009/7/15
BLACK WATER DESIGNS	C014065-014	C07-097	FG91	206-20305-300-04	9	2008/7/30
WENZEL	C014065-014	C07-097	FG52	49704.2 002	400	2009/7/15
BLACK WATER DESIGNS	C014065-015	C07-098	FG91	206-20305-300-05	28	2008/7/30
WENZEL	C014065-015	C07-098	FG52	49704.2 003	400	2009/7/15
BLACK WATER DESIGNS	C014065-016	C07-099	FG91	206-20305-300-06	34	2008/7/30
WENZEL	C014065-016	C07-099	FG52	49704.2 001	400	2009/8/15
BLACK WATER DESIGNS	C014065-017	C07-100	FG91	206-20305-300-07	19	2008/7/30
WENZEL	C014065-017	C07-100	FG52	49704.2 002	400	2009/8/15
BLACK WATER DESIGNS	C014065-018	C07-101	FG91	206-20305-300-08	6	2008/7/30
WENZEL	C014065-018	C07-101	FG52	49704.2 003	400	2009/8/15
BLACK WATER DESIGNS	C014065-019	C07-102	FG91	206-20305-947-05	6	2008/7/30
BLACK WATER DESIGNS	C014065-020	C07-103	FG91	206-20305-947-06	15	2008/7/30
BLACK WATER DESIGNS	C014065-021	C07-104	FG91	206-20305-947-07	9	2008/7/30
BLACK WATER DESIGNS	C014065-060	C07-105	FG91	206-30305-300-04	12	2008/7/30
WENZEL	C014065-060	C07-105	FG31	28530	600	2009/8/1
BLACK WATER DESIGNS	C014065-061	C07-106	FG91	206-30305-300-05	18	2008/7/30
WENZEL	C014065-061	C07-106	FG32	204CI	50	2009/7/22
BLACK WATER DESIGNS	C014065-062	C07-107	FG91	206-30305-300-06	15	2008/7/30
KATHMANDU LIMITED	C014065-062	C07-107	FG53	51053/902/L	100	2009/9/5
BLACK WATER DESIGNS	C014065-063	C07-108	FG91	206-30305-300-07	6	2008/7/30
KATHMANDU LIMITED	C014065-063	C07-108	FG53	51053/902/S	130	2009/9/5
BLACK WATER DESIGNS	C014065-064	C07-109	FG91	206-30305-702-04	12	2008/7/30
KATHMANDU LIMITED	C014065-064	C07-109	FG52	51098/403/ONE	140	2009/9/5
BLACK WATER DESIGNS	C014065-065	C07-110	FG91	206-30305-702-05	18	2008/7/30
KATHMANDU LIMITED	C014065-065	C07-110	FG52	51098/898/ONE	200	2009/9/5
BLACK WATER DESIGNS	C014065-066	C07-111	FG91	206-30305-702-06	18	2008/7/30
CRP	C014065-066	C07-111	FG31	076-0733-6	234	2009/7/5
BLACK WATER DESIGNS	C014065-067	C07-112	FG91	206-30305-702-07	6	2008/7/30
CRP	C014065-067	C07-112	FG31	076-0734-4	204	2009/7/5
BLACK WATER DESIGNS	C014065-068	C07-113	FG91	206-30305-842-04	15	2008/7/30
CRP	C014065-068	C07-113	FG31	076-0733-6	234	2009/7/5
BLACK WATER DESIGNS	C014065-069	C07-114	FG91	206-30305-842-05	21	2008/7/30
CRP	C014065-069	C07-114	FG31	076-0732-8	1326	2009/12/31
BLACK WATER DESIGNS	C014065-070	C07-115	FG91	206-30305-842-06	15	2008/7/30
CRP	C014065-070	C07-115	FG31	076-0799-0	368	2009/7/22
